"Year","Age","Height","Weight","Sprint_40yd","Vertical_Jump","Bench_Press_Reps","Broad_Jump","Agility_3cone","Shuttle","BMI","Player_Type","Position_Type","Position","Drafted","Age_imp","Agility_3cone_imp","Shuttle_imp","Bench_Press_Reps_imp","Broad_Jump_imp","Vertical_Jump_imp","Sprint_40yd_imp","Id"
2013,22,1.91,118.8,4.81,87.63,23,289.56,7.18,4.51,32.74741864,"defense","defensive_lineman","DE",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,943
2013,22,1.78,87.5,4.59,83.82,14,297.18,6.92,4.15,27.69233242,"offense","backs_receivers","WR",1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,944
2013,22,1.98,144.2,5.27,69.61,24,257.51,7.84,4.79,36.74821274,"offense","offensive_lineman","OT",1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,945
2013,22,1.96,137,5.08,74.93,25,284.48,7.49,4.45,35.81160618,"offense","offensive_lineman","OT",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,946
2013,21,1.78,94.3,4.67,93.98,17,314.96,6.7,4.11,29.84458624,"defense","defensive_back","FS",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,947
2013,20,1.85,97.1,4.57,91.44,15,292.1,7,4.5,28.23360669,"offense","backs_receivers","WR",1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,948
2013,22,1.85,109.3,4.57,96.52,30,314.96,7.12,4.32,31.79579071,"defense","line_backer","OLB",1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,949
2013,23,1.91,137,5.29,71.27,13,259.57,7.77,4.73,37.74702454,"offense","offensive_lineman","C",1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,950
2013,22,1.91,117,4.94,80.01,21,294.64,7.12,4.45,32.24745805,"offense","backs_receivers","TE",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,951
2013,21,1.91,145.1,5.11,68.68,27,252.57,7.45,4.63,39.9968472,"offense","offensive_lineman","OG",1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,952
2013,21,1.73,88.5,4.48,88.9,17,299.72,7.15,4.15,29.6493443,"offense","backs_receivers","RB",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,953
2013,22,1.91,120.7,4.83,78.74,25,281.94,7.3,4.4,33.24737923,"defense","defensive_lineman","DE",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,954
2013,23,1.78,92.5,4.64,89.22,27,303.16,7,4.22,29.27065189,"defense","defensive_back","FS",1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,955
2013,22,1.93,149.2,5.23,67.31,22,264.16,7.85,4.7,40.0467264,"defense","defensive_lineman","DT",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,956
2013,21,1.7,78.5,4.58,81.28,7,297.18,6.81,4.37,27.09535248,"offense","backs_receivers","WR",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,957
2013,22,1.8,91.2,4.47,96.52,22,317.5,6.7,4.15,28.03352222,"defense","defensive_back","CB",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,958
2013,21,1.85,84.8,4.54,91.44,4,320.04,7.17,4.32,24.67142267,"defense","defensive_back","CB",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,959
2013,22,1.83,98.4,4.64,97.79,18,301.62,7.05,4.25,29.43018881,"defense","defensive_back","SS",1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,960
2013,21,1.85,93.9,4.58,87.63,16,312.42,6.64,4.1,27.3100775,"defense","defensive_back","FS",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,961
2013,21,1.98,138.8,5.3,72.39,27,269.24,7.4,4.68,35.36148773,"offense","offensive_lineman","OT",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,962
2013,22,1.78,90.3,4.43,92.71,16,312.42,7.09,4.22,28.55323395,"offense","backs_receivers","WR",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,963
2013,21,1.8,103,4.37,85.09,31,307.34,6.96,4.38,31.65974897,"offense","backs_receivers","RB",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,964
2013,23,1.96,115.7,4.63,82.69,20,290.42,7.21,4.42,30.23827674,"offense","backs_receivers","TE",1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,965
2013,23,1.91,113.9,4.81,82.65,22,288.69,7.22,4.41,31.37252702,"offense","backs_receivers","FB",1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,966
2013,22,2.01,138.8,5.05,72.39,27,294.64,7.59,4.44,34.47192619,"offense","offensive_lineman","OT",1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,967
2013,22,1.83,98,4.41,87.63,18,297.18,7.1,4.3,29.29456582,"defense","defensive_back","CB",1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,968
2013,22,1.88,112.5,4.73,85.46,23,295.83,7.15,4.34,31.840989,"defense","line_backer","ILB",1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,969
